date,nom_fichier,reseau,statut,ancienne_maj,nouvelle_maj
2026-08-22,Clermont auvergne_GTFS.zip,T2C,mis_a_jour,,20260702
2026-08-22,Colmar_GTFS.zip,TRACE,mis_a_jour,,20261126
2026-08-22,Cotentin_GTFS.zip,Cap Cotentin,mis_a_jour,,20260702
2026-08-22,Dijon_gtfs-diviamobilites-current.zip,KEOLIS DIJON,mis_a_jour,,20261015
2026-08-22,Douai_GTFS.zip,EVEOLE - TAD EVEOLE,mis_a_jour,,20261217
2026-08-22,Dunkerque_gtfs-20260624-110758-dkbus.zip,DKBUS,mis_a_jour,,20261217
2026-08-22,Gap_GTFS.zip,L'Agglo en bus,mis_a_jour,,20261217
2026-08-22,Grenoble_SEM-GTFS.zip,M Réso - Métropole Grenobloise,mis_a_jour,,20261015
2026-08-22,Guéret_GTFS.zip,Agglo’Bus (Grand Guéret),mis_a_jour,,20270831
2026-08-22,Lannion_GTFS.zip,TILT (Lannion),mis_a_jour,,20270701
2026-08-22,Laval_pan.zip,TUL,mis_a_jour,,20260827
2026-08-22,Limoges_metropole-aggregated-gtfs.zip,STCLM (Limoges Métropole),mis_a_jour,,20261015
2026-08-22,Lorient_medias.zip,IZILO,mis_a_jour,,20261015
2026-08-22,Marseille_mamp-rtm.gtfs.zip,Marseille,mis_a_jour,,20261015
2026-08-22,Metz_LEMET-gtfs.zip,LE MET',mis_a_jour,,20260917
2026-08-22,Montauban_gtfs-ete-26.zip,SEMTM,mis_a_jour,,20260827
2026-08-22,Montelimar_GTFS.zip,REGION Auvergne Rhone Alpes - MONTELIBUS,mis_a_jour,,20261015
2026-08-22,Montelimar_gtfs-2026-06-10.zip,REGION Auvergne Rhone Alpes - MONTELIBUS,mis_a_jour,,20261015
2026-08-22,Montpellier_TAM_MMM_GTFS.zip,TAM,mis_a_jour,,20261015
2026-08-22,Mulhouse_SITRAM.GTFS.zip,SOLEA,mis_a_jour,,20270624
2026-08-22,Nancy_LESUB.GTFS.zip,SUB Nancy,mis_a_jour,,20261015
2026-08-22,Nantes_Naolib_gtfs_lumidata_id.zip,Naolib,mis_a_jour,,20261119
2026-08-22,Nice_GTFS.zip,Lignes d'Azur,mis_a_jour,,20261015
2026-08-22,Nice_gtfs.zip,Lignes d'Azur,mis_a_jour,,20261015
2026-08-22,Nimes_gtfs-production.zip,TANGO,mis_a_jour,,20261217
2026-08-22,Niort-aggregated-gtfs.zip,Tanlib (Niort),mis_a_jour,,20260827
2026-08-22,Orleans_gtfs.zip,TAO (Orléans),mis_a_jour,,20261217
2026-08-22,Pau_GTFS.zip,IDELIS (Pau),mis_a_jour,,20270101
2026-08-22,Perigueux-aggregated-gtfs.zip,Périmouv (Grand Perigueux),mis_a_jour,,20261217
2026-08-22,Perpignan.gtfs.zip,Sankéo,mis_a_jour,,20260827
2026-08-22,Poitiers_gtfs.zip,VITALIS (Grand Poitiers) - FLEX'E-BUS (Grand Poitiers),mis_a_jour,,20261015
2026-08-22,Reims.GTFS.zip,Transdev Reims,mis_a_jour,,20261015
2026-08-22,Rennes_GTFS_STAR_BUS_METRO_EN_COURS.zip,STAR,mis_a_jour,,20260827
2026-08-22,SaintEtienne_STAS.GTFS.zip,SAINT-ETIENNE – STAS,mis_a_jour,,20261015
2026-08-22,Saumur_gtfs_imported-id_saumur.zip,saumuragglobus,mis_a_jour,,20260702
2026-08-22,Strasbourg_google_transit.zip,CTS,mis_a_jour,,20270211
2026-08-22,Toulon_gtfs-complet.zip,Réseau Mistral - Téléphérique Faron,mis_a_jour,,20261015
2026-08-22,Toulouse_tisseo_gtfs_v2_r5py.zip,Tisséo,mis_a_jour,,20260917
2026-08-22,Tours_filbleu_gtfs14.zip,Fil Bleu (Tours),mis_a_jour,,20261217
2026-08-22,Valence_gtfs-citea-20260517-20260628.zip,Valence Romans Mobilités,mis_a_jour,,20260625
2026-08-22,Valenciennes_google-transit.zip,Transvilles,mis_a_jour,,20261217
2026-08-22,Vannes_GTFS.zip,Kicéo,mis_a_jour,,20270701
2026-08-24,Albi_libea-reseau-urbain.zip,libéA Mobilités,mis_a_jour,,20261217
2026-08-24,Ales_gtfs-is-20260704.zip,ALES'Y(SMTBA),mis_a_jour,,20261015
2026-08-24,Amiens_gtfs-fusion-20260721-1000.zip,Keolis Amiens,mis_a_jour,,20270112
2026-08-24,Angers_gtfs.zip,IRIGO,mis_a_jour,,20261015
2026-08-24,Annecy_GTFS.zip,SIBRA,mis_a_jour,,20261015
2026-08-24,Avignon_gtfs_20260716_979_OPENDATA.zip,TECELYS SPL,mis_a_jour,,20261015
2026-08-24,BOURGES-GTFS.zip,Agglobus (Bourges),mis_a_jour,,20261217
